reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,text.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
20,69,51,0,0,0,96,14.224603334001586,15.17246491700098,15.17246491700098,15.22114533400054,l,0.35698533399954613,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
39,83,10,0,1,1,92,15.581371000000217,16.563233124999897,16.563233124999897,16.578171625000323,l,0.3097766249993583,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
41,74,65,0,2,2,68,16.908370167000612,17.879642667001463,17.879642667001463,17.904153084000427,l,0.24110970800029463,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
18,20,44,0,3,3,40,18.13812920900091,19.12090079200061,19.12090079200061,19.12746566700116,l,0.22323895800036553,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
29,48,7,0,4,4,67,19.360645333999855,20.346212542001012,20.346212542001012,20.354247625000426,t,0.21758770899941737,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
28,66,30,0,5,5,51,20.588942667000083,21.57112708400018,21.57112708400018,21.587677834000715,l,0.2014624580006057,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
35,37,86,0,6,6,26,21.794584500001292,22.780256750000262,22.780256750000262,22.78711583400036,t,0.6713858749990322,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
12,21,97,0,7,7,20,23.47180870900047,24.454562959001123,24.454562959001123,24.461655417000657,t,0.6191400420011632,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
23,33,98,0,8,8,97,25.094544167001004,26.071289000001343,26.071289000001343,26.087864250001076,t,0.5576134580005601,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
13,22,66,0,9,9,73,26.656100542000786,27.6379700840007,27.6379700840007,27.654594209001516,l,0.3710330840003735,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
24,86,43,0,10,10,33,28.027226584001255,29.013035584001045,29.013035584001045,29.020537042000797,l,0.39184833299987076,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
17,57,93,0,11,11,41,29.421839459000694,30.404959999999846,30.404959999999846,30.411539709000863,l,0.42132170900003985,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
21,74,80,0,12,12,81,30.84638441700008,31.830277000000933,31.830277000000933,31.838221125000928,t,0.7919266669996432,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
17,46,24,0,13,13,52,32.6393215420012,33.62150337500134,33.62150337500134,33.6381447090007,l,0.6702131660003943,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
46,57,37,0,14,14,66,34.311063125000146,35.29692637500011,35.29692637500011,35.304950499999904,l,0.6582738329998392,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
39,56,51,0,15,15,98,35.97208679200048,36.95500183400145,36.95500183400145,36.9624858340012,l,0.7593930419989192,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
12,22,55,0,16,16,57,37.737751250000656,38.71382170900142,38.71382170900142,38.72788204200151,l,1.0584560410006816,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
48,62,12,0,17,17,69,39.789942875000634,40.7717531670005,40.7717531670005,40.78849516700029,l,0.5542346250003902,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
49,60,89,0,18,18,4,41.343807459001255,42.33021629200084,42.33021629200084,42.33856675000061,t,0.5857949169985659,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
