8.0392 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
9.1873 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

9.1884 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fd182e171c0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fd182e17160>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fd182f05fa0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fd183877640>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.1887 	EXP 	window1: mouseVisible = True
9.1888 	EXP 	window1: backgroundImage = ''
9.1888 	EXP 	window1: backgroundFit = 'none'
9.1897 	EXP 	window1: mouseVisible = False
9.1897 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.1898 	EXP 	window1: recordFrameIntervals = False
9.2704 	EXP 	window1: recordFrameIntervals = True
10.1044 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

11.8675 	EXP 	Created Fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
11.8729 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
11.8836 	EXP 	Imported delay_discounting_conditions.xlsx as conditions, 100 conditions, 3 params
11.8849 	EXP 	Created sequence: random, trialTypes=100, nReps=1, seed=None
11.8851 	EXP 	New trial (rep=0, index=0): {'reward_today': 37, 'future_reward': 60, 'delay': 17}
11.9206 	WARNING 	t of last frame was 1816.55ms (=1/0)
11.9206 	EXP 	text: height = 0.05
11.9206 	EXP 	text: height = 0.05
11.9206 	EXP 	text: height = 0.05
11.9206 	EXP 	text: text = 'GBP 37 today or GBP 60 after 17 days'
11.9206 	EXP 	Fixation: autoDraw = True
12.8752 	EXP 	text: autoDraw = True
12.9144 	EXP 	Fixation: autoDraw = False
13.7340 	EXP 	New trial (rep=0, index=1): {'reward_today': 13, 'future_reward': 59, 'delay': 10}
13.7476 	DATA 	Keypress: l
13.7538 	WARNING 	t of last frame was 49.50ms (=1/20)
13.7538 	EXP 	Fixation: autoDraw = False
13.7538 	EXP 	text: autoDraw = False
13.7538 	EXP 	text: height = 0.05
13.7538 	EXP 	text: height = 0.05
13.7538 	EXP 	text: height = 0.05
13.7538 	EXP 	text: text = 'GBP 13 today or GBP 59 after 10 days'
13.7538 	EXP 	Fixation: autoDraw = True
14.7310 	EXP 	text: autoDraw = True
14.7477 	EXP 	Fixation: autoDraw = False
14.9664 	EXP 	New trial (rep=0, index=2): {'reward_today': 39, 'future_reward': 88, 'delay': 37}
14.9841 	DATA 	Keypress: l
14.9891 	WARNING 	t of last frame was 24.26ms (=1/41)
14.9891 	EXP 	Fixation: autoDraw = False
14.9891 	EXP 	text: autoDraw = False
14.9891 	EXP 	text: height = 0.05
14.9891 	EXP 	text: height = 0.05
14.9891 	EXP 	text: height = 0.05
14.9891 	EXP 	text: text = 'GBP 39 today or GBP 88 after 37 days'
14.9891 	EXP 	Fixation: autoDraw = True
15.9644 	EXP 	text: autoDraw = True
15.9810 	EXP 	Fixation: autoDraw = False
16.1364 	DATA 	Keypress: l
16.1430 	EXP 	New trial (rep=0, index=3): {'reward_today': 23, 'future_reward': 33, 'delay': 98}
16.1558 	EXP 	Fixation: autoDraw = False
16.1558 	EXP 	text: autoDraw = False
16.1558 	EXP 	text: height = 0.05
16.1558 	EXP 	text: height = 0.05
16.1558 	EXP 	text: height = 0.05
16.1558 	EXP 	text: text = 'GBP 23 today or GBP 33 after 98 days'
16.1558 	EXP 	Fixation: autoDraw = True
17.1397 	EXP 	text: autoDraw = True
17.1477 	EXP 	Fixation: autoDraw = False
17.3396 	EXP 	New trial (rep=0, index=4): {'reward_today': 18, 'future_reward': 31, 'delay': 68}
17.3490 	DATA 	Keypress: l
17.3537 	EXP 	Fixation: autoDraw = False
